Time (s),Latitude,Longitude,Speed (m/s)
5,36.53154,136.62914,0.96
10,36.5315,136.62927,1.11
15,36.5315,136.62934,0.55
20,36.53154,136.62942,0.93
25,36.53151,136.62951,1.32
30,36.5315,136.6296,1.45
35,36.53146,136.62975,1.61
40,36.53148,136.62985,1.64
45,36.53151,136.62992,1.39
50,36.53158,136.62993,1.52
55,36.53164,136.62992,1.21
60,36.53168,136.62993,1.31
65,36.53173,136.62993,0.84
70,36.5318,136.62998,1.39
75,36.53186,136.63005,1.53
80,36.53188,136.63011,0.72
85,36.53195,136.6301,0.8
90,36.53201,136.63009,1.06
95,36.53203,136.63001,1.56
100,36.53203,136.62994,0.9
105,36.53204,136.62985,1.45
110,36.53206,136.62976,1.15
115,36.53208,136.62968,1.14
120,36.53209,136.62961,1.36
125,36.53208,136.6296,1.59
130,36.53209,136.62951,0.73
135,36.53212,136.62944,0.59
140,36.53213,136.62933,1.57
145,36.53213,136.62922,1.57
150,36.53213,136.62912,1.59
155,36.53212,136.62904,0.88
160,36.53211,136.62894,1.25
165,36.53206,136.62891,1.17
170,36.53198,136.62891,1.46
175,36.53192,136.62891,1.12
180,36.53185,136.62891,1.38
185,36.53178,136.6289,1.21
190,36.53172,136.62889,1.24
195,36.53166,136.6289,1.1
200,36.53159,136.62891,1.32
205,36.53153,136.62893,0.79
210,36.5315,136.62898,0.5
215,36.53148,136.62901,0.96